Reading Profile files in profile.*

NODE 0;CONTEXT 0;THREAD 0:
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0           18          284           1           5     284591 .TAU application
 93.2         0.33          265           1           6     265212 main 
 74.1          205          210           1        9751     210827 MeshVTKWriterInternal(mesh_t*, char const*, int*, int*) 
 12.9           25           36           1       20251      36662 MeshGmshReader(char const*) 
  6.0           15           16           1           1      16976 MeshReorderingMETIS(mesh_t*) 
  2.0            5            5        9751           0          1 GmshToVTKType(int) 
  1.9            5            5       10125           0          1 getGmshElemTypeDim(int) 
  1.9            5            5       10125           0          1 getGmshElemNNodes(int) 
  0.5            1            1           1           0       1415 MeshToGraph(mesh_t*, int**, int**) 
  0.1        0.408        0.408           1           0        408 MeshPartitionerInternal(mesh_t*, int) 
  0.1        0.111        0.315           1           1        315 _GLOBAL__sub_I__Z17getGmshElemNNodesi 
  0.1        0.207        0.207           4           0         52 __static_initialization_and_destruction_0(int, int) 
  0.0        0.079         0.08           1           1         80 _GLOBAL__sub_I__Z23MeshPartitionerInternalP6mesh_ti 
  0.0        0.076        0.077           1           1         77 _GLOBAL__sub_I_main 
  0.0        0.072        0.073           1           1         73 _GLOBAL__sub_I__Z13adj_bandwidthiiPiS_ 
  0.0        0.007        0.007           1           0          7 mesh_t::mesh_t() 
  0.0        0.007        0.007           1           0          7 mesh_t::~mesh_t() 
  0.0        0.002        0.002           1           0          2 MeshPartitionDestroy(mesh_partition_t*) 
