Reading Profile files in profile.*

NODE 0;CONTEXT 0;THREAD 0:
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0           18     1:16.967           1           5   76967750 .TAU application
100.0        0.345     1:16.948           1           6   76948296 main 
 94.8          296     1:12.969           1      464778   72969475 MeshReorderingRCM(mesh_t*) 
 94.3          729     1:12.610      464775      564775        156 adj_set(int, int, int*, int*, int*, int, int) 
 93.3     1:11.824     1:11.824      464774           0        155 adj_insert_ij(int, int, int*, int*, int*, int, int) 
  4.6        3,505        3,562           1      100001    3562047 MeshVTKWriterInternal(mesh_t*, char const*, int*, int*) 
  0.5          306          415           1      200003     415352 MeshGmshReader(char const*) 
  0.1           56           56      100001           0          1 adj_contains_ij(int, int, int*, int*, int, int) [THROTTLED]
  0.1           56           56      100001           0          1 GmshToVTKType(int) [THROTTLED]
  0.1           55           55      100001           0          1 getGmshElemNNodes(int) [THROTTLED]
  0.1           53           53      100001           0          1 getGmshElemTypeDim(int) [THROTTLED]
  0.1           46           46           1           0      46540 MeshToGraph(mesh_t*, int**, int**) 
  0.0        0.179           15           1           2      15711 genrcm(int, int, int*, int*, int*) 
  0.0        0.048            9           1           3       9378 root_find(int*, int, int*, int*, int*, int*, int*, int*, int) 
  0.0            9            9           3           0       3110 level_set(int, int, int*, int*, int*, int*, int*, int*, int) 
  0.0            2            6           1           2       6154 rcm(int, int, int*, int*, int*, int*, int*, int) 
  0.0            3            3           1           0       3204 degree(int, int, int*, int*, int*, int*, int*, int*, int) 
  0.0        0.847        0.847           1           0        847 MeshPartitionerInternal(mesh_t*, int) 
  0.0        0.102        0.307           1           1        307 _GLOBAL__sub_I__Z17getGmshElemNNodesi 
  0.0        0.233        0.233           1           0        233 perm_inverse3(int, int*, int*) 
  0.0        0.228        0.228           1           0        228 mesh_t::~mesh_t() 
  0.0        0.209        0.209           4           0         52 __static_initialization_and_destruction_0(int, int) 
  0.0         0.08        0.082           1           1         82 _GLOBAL__sub_I__Z23MeshPartitionerInternalP6mesh_ti 
  0.0        0.075        0.076           1           1         76 _GLOBAL__sub_I_main 
  0.0        0.072        0.073           1           1         73 _GLOBAL__sub_I__Z13adj_bandwidthiiPiS_ 
  0.0        0.058        0.058           1           0         58 i4vec_reverse(int, int*) 
  0.0        0.008        0.008           1           0          8 mesh_t::mesh_t() 
  0.0        0.002        0.002           1           0          2 MeshPartitionDestroy(mesh_partition_t*) 
