Reading Profile files in profile.*

NODE 0;CONTEXT 0;THREAD 0:
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0           18     7:54.847           1           5  474847916 .TAU application
100.0        0.369     7:54.828           1           6  474828738 main 
 98.6          594     7:48.287           1      931020  468287771 MeshReorderingRCM(mesh_t*) 
 98.5        1,474     7:47.535      931017 1.03102E+06        502 adj_set(int, int, int*, int*, int*, int, int) 
 98.1     7:45.994     7:45.994      931016           0        501 adj_insert_ij(int, int, int*, int*, int*, int, int) 
  1.2        5,871        5,927           1      100001    5927303 MeshVTKWriterInternal(mesh_t*, char const*, int*, int*) 
  0.1          500          610           1      200003     610849 MeshGmshReader(char const*) 
  0.0           94           94           1           0      94786 MeshToGraph(mesh_t*, int**, int**) 
  0.0           66           66      100001           0          1 adj_contains_ij(int, int, int*, int*, int, int) [THROTTLED]
  0.0        0.502           61           1           2      61807 genrcm(int, int, int*, int*, int*) 
  0.0           56           56      100001           0          1 GmshToVTKType(int) [THROTTLED]
  0.0           55           55      100001           0          1 getGmshElemNNodes(int) [THROTTLED]
  0.0           54           54      100001           0          1 getGmshElemTypeDim(int) [THROTTLED]
  0.0        0.032           35           1           3      35872 root_find(int*, int, int*, int*, int*, int*, int*, int*, int) 
  0.0           35           35           3           0      11947 level_set(int, int, int*, int*, int*, int*, int*, int*, int) 
  0.0           11           25           1           2      25433 rcm(int, int, int*, int*, int*, int*, int*, int) 
  0.0           13           13           1           0      13860 degree(int, int, int*, int*, int*, int*, int*, int*, int) 
  0.0            1            1           1           0       1629 perm_inverse3(int, int*, int*) 
  0.0            1            1           1           0       1452 MeshPartitionerInternal(mesh_t*, int) 
  0.0        0.992        0.992           1           0        992 mesh_t::~mesh_t() 
  0.0        0.096        0.301           1           1        301 _GLOBAL__sub_I__Z17getGmshElemNNodesi 
  0.0        0.261        0.261           1           0        261 i4vec_reverse(int, int*) 
  0.0        0.209        0.209           4           0         52 __static_initialization_and_destruction_0(int, int) 
  0.0        0.078        0.079           1           1         79 _GLOBAL__sub_I__Z23MeshPartitionerInternalP6mesh_ti 
  0.0        0.073        0.075           1           1         75 _GLOBAL__sub_I_main 
  0.0        0.072        0.073           1           1         73 _GLOBAL__sub_I__Z13adj_bandwidthiiPiS_ 
  0.0        0.008        0.008           1           0          8 mesh_t::mesh_t() 
  0.0        0.002        0.002           1           0          2 MeshPartitionDestroy(mesh_partition_t*) 
