Reading Profile files in profile.*

NODE 0;CONTEXT 0;THREAD 0:
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0           19          925           1           5     925837 .TAU application
 97.9        0.324          906           1           6     906135 main 
 76.6          688          708           1       35199     708835 MeshVTKWriterInternal(mesh_t*, char const*, int*, int*) 
 13.4           84          124           1       71749     124226 MeshGmshReader(char const*) 
  7.8           66           72           1           1      72283 MeshReorderingMETIS(mesh_t*) 
  2.1           19           19       35199           0          1 GmshToVTKType(int) 
  2.1           19           19       35874           0          1 getGmshElemTypeDim(int) 
  2.1           19           19       35874           0          1 getGmshElemNNodes(int) 
  0.7            6            6           1           0       6240 MeshToGraph(mesh_t*, int**, int**) 
  0.0        0.461        0.461           1           0        461 MeshPartitionerInternal(mesh_t*, int) 
  0.0        0.096          0.3           1           1        300 _GLOBAL__sub_I__Z17getGmshElemNNodesi 
  0.0        0.208        0.208           4           0         52 __static_initialization_and_destruction_0(int, int) 
  0.0        0.077        0.079           1           1         79 _GLOBAL__sub_I__Z23MeshPartitionerInternalP6mesh_ti 
  0.0        0.074        0.075           1           1         75 _GLOBAL__sub_I_main 
  0.0        0.071        0.072           1           1         72 _GLOBAL__sub_I__Z13adj_bandwidthiiPiS_ 
  0.0        0.007        0.007           1           0          7 mesh_t::mesh_t() 
  0.0        0.004        0.004           1           0          4 mesh_t::~mesh_t() 
  0.0        0.002        0.002           1           0          2 MeshPartitionDestroy(mesh_partition_t*) 
