Reading Profile files in profile.*

NODE 0;CONTEXT 0;THREAD 0:
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0           54          759           1           5     759674 .TAU application
 92.8        0.301          704           1           6     704640 main 
 65.3           17          495           1       29544     495960 MeshReorderingRCM(mesh_t*) 
 62.4           67          473       29541       88620         16 adj_set(int, int, int*, int*, int*, int, int) 
 49.1          372          372       29540           0         13 adj_insert_ij(int, int, int*, int*, int*, int, int) 
 20.7          151          156           1        9751     156968 MeshVTKWriterInternal(mesh_t*, char const*, int*, int*) 
  5.2           28           39           1       20251      39831 MeshGmshReader(char const*) 
  4.4           33           33       59080           0          1 adj_contains_ij(int, int, int*, int*, int, int) 
  1.5           11           11           1           0      11572 MeshPartitionerInternal(mesh_t*, int) 
  0.7            5            5       10125           0          1 getGmshElemNNodes(int) 
  0.7            5            5       10125           0          1 getGmshElemTypeDim(int) 
  0.7            5            5        9751           0          1 GmshToVTKType(int) 
  0.3            1            2           1           2       2606 genrcm(int, int, int*, int*, int*) 
  0.3            1            1           1           0       1949 MeshToGraph(mesh_t*, int**, int**) 
  0.1        0.278        0.559           1           2        559 rcm(int, int, int*, int*, int*, int*, int*, int) 
  0.1        0.031         0.52           1           2        520 root_find(int*, int, int*, int*, int*, int*, int*, int*, int) 
  0.1        0.489        0.489           2           0        244 level_set(int, int, int*, int*, int*, int*, int*, int*, int) 
  0.0        0.105        0.319           1           1        319 _GLOBAL__sub_I__Z17getGmshElemNNodesi 
  0.0        0.272        0.272           1           0        272 degree(int, int, int*, int*, int*, int*, int*, int*, int) 
  0.0        0.218        0.218           4           0         54 __static_initialization_and_destruction_0(int, int) 
  0.0        0.082        0.083           1           1         83 _GLOBAL__sub_I__Z23MeshPartitionerInternalP6mesh_ti 
  0.0        0.076        0.077           1           1         77 _GLOBAL__sub_I_main 
  0.0        0.074        0.076           1           1         76 _GLOBAL__sub_I__Z13adj_bandwidthiiPiS_ 
  0.0        0.019        0.019           1           0         19 mesh_t::mesh_t() 
  0.0        0.013        0.013           1           0         13 perm_inverse3(int, int*, int*) 
  0.0        0.009        0.009           1           0          9 i4vec_reverse(int, int*) 
  0.0        0.006        0.006           1           0          6 mesh_t::~mesh_t() 
  0.0        0.002        0.002           1           0          2 MeshPartitionDestroy(mesh_partition_t*) 
