Reading Profile files in profile.*

NODE 0;CONTEXT 0;THREAD 0:
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0           18        7,628           1           5    7628063 .TAU application
 99.7        0.374        7,608           1           6    7608893 main 
 79.8        6,028        6,086           1      100001    6086287 MeshVTKWriterInternal(mesh_t*, char const*, int*, int*) 
 12.0          812          912           1           1     912280 MeshReorderingMETIS(mesh_t*) 
  8.0          499          608           1      200003     608090 MeshGmshReader(char const*) 
  1.3           99           99           1           0      99809 MeshToGraph(mesh_t*, int**, int**) 
  0.8           57           57      100001           0          1 GmshToVTKType(int) [THROTTLED]
  0.7           54           54      100001           0          1 getGmshElemNNodes(int) [THROTTLED]
  0.7           54           54      100001           0          1 getGmshElemTypeDim(int) [THROTTLED]
  0.0            1            1           1           0       1524 MeshPartitionerInternal(mesh_t*, int) 
  0.0        0.335        0.335           1           0        335 mesh_t::~mesh_t() 
  0.0        0.096        0.303           1           1        303 _GLOBAL__sub_I__Z17getGmshElemNNodesi 
  0.0         0.21         0.21           4           0         52 __static_initialization_and_destruction_0(int, int) 
  0.0        0.079         0.08           1           1         80 _GLOBAL__sub_I__Z23MeshPartitionerInternalP6mesh_ti 
  0.0        0.077        0.078           1           1         78 _GLOBAL__sub_I_main 
  0.0        0.071        0.072           1           1         72 _GLOBAL__sub_I__Z13adj_bandwidthiiPiS_ 
  0.0        0.007        0.007           1           0          7 mesh_t::mesh_t() 
  0.0        0.003        0.003           1           0          3 MeshPartitionDestroy(mesh_partition_t*) 
