Reading Profile files in profile.*

NODE 0;CONTEXT 0;THREAD 0:
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0           19           84           1           5      84951 .TAU application
 77.0        0.283           65           1           6      65390 main 
 60.9           50           51           1        1812      51746 MeshVTKWriterInternal(mesh_t*, char const*, int*, int*) 
 10.9            6            9           1        3967       9245 MeshGmshReader(char const*) 
  4.3            2            3           1           1       3624 MeshReorderingMETIS(mesh_t*) 
  1.6            1            1        1983           0          1 getGmshElemTypeDim(int) 
  1.3            1            1        1983           0          1 getGmshElemNNodes(int) 
  1.2            1            1           1           0       1053 MeshToGraph(mesh_t*, int**, int**) 
  1.2            1            1        1812           0          1 GmshToVTKType(int) 
  0.6        0.486        0.486           1           0        486 MeshPartitionerInternal(mesh_t*, int) 
  0.4        0.096        0.301           1           1        301 _GLOBAL__sub_I__Z17getGmshElemNNodesi 
  0.2         0.21         0.21           4           0         52 __static_initialization_and_destruction_0(int, int) 
  0.1         0.08        0.082           1           1         82 _GLOBAL__sub_I__Z23MeshPartitionerInternalP6mesh_ti 
  0.1        0.074        0.075           1           1         75 _GLOBAL__sub_I_main 
  0.1        0.071        0.073           1           1         73 _GLOBAL__sub_I__Z13adj_bandwidthiiPiS_ 
  0.0        0.007        0.007           1           0          7 mesh_t::mesh_t() 
  0.0        0.004        0.004           1           0          4 mesh_t::~mesh_t() 
  0.0        0.002        0.002           1           0          2 MeshPartitionDestroy(mesh_partition_t*) 
