Reading Profile files in profile.*

NODE 0;CONTEXT 0;THREAD 0:
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0           18           61           1           5      61707 .TAU application
 68.9        0.264           42           1           6      42523 main 
 52.6           31           32           1        1264      32445 MeshVTKWriterInternal(mesh_t*, char const*, int*, int*) 
 10.4            4            6           1        2625       6389 MeshGmshReader(char const*) 
  3.3            1            2           1           1       2017 MeshReorderingMETIS(mesh_t*) 
  2.3            1            1           1           0       1403 MeshPartitionerInternal(mesh_t*, int) 
  1.2        0.717        0.717        1264           0          1 GmshToVTKType(int) 
  1.2        0.714        0.714        1312           0          1 getGmshElemTypeDim(int) 
  1.1        0.709        0.709        1312           0          1 getGmshElemNNodes(int) 
  0.5        0.095        0.299           1           1        299 _GLOBAL__sub_I__Z17getGmshElemNNodesi 
  0.4        0.259        0.259           1           0        259 MeshToGraph(mesh_t*, int**, int**) 
  0.3        0.207        0.207           4           0         52 __static_initialization_and_destruction_0(int, int) 
  0.1         0.08        0.081           1           1         81 _GLOBAL__sub_I__Z23MeshPartitionerInternalP6mesh_ti 
  0.1        0.074        0.075           1           1         75 _GLOBAL__sub_I_main 
  0.1        0.072        0.073           1           1         73 _GLOBAL__sub_I__Z13adj_bandwidthiiPiS_ 
  0.0        0.007        0.007           1           0          7 mesh_t::mesh_t() 
  0.0        0.004        0.004           1           0          4 mesh_t::~mesh_t() 
  0.0        0.001        0.001           1           0          1 MeshPartitionDestroy(mesh_partition_t*) 
